latent_dim=16, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 29, 'ACC': 84.56, 'NMI': 69.6, 'PUR': 84.56}, final_result={'epoch': 149, 'ACC': 70.04, 'NMI': 54.120000000000005, 'PUR': 74.82}
latent_dim=16, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 38, 'ACC': 37.68, 'NMI': 10.38, 'PUR': 44.12}, final_result={'epoch': 149, 'ACC': 32.9, 'NMI': 6.5, 'PUR': 40.62}
latent_dim=16, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 89, 'ACC': 66.36, 'NMI': 36.6, 'PUR': 66.36}, final_result={'epoch': 149, 'ACC': 54.410000000000004, 'NMI': 28.28, 'PUR': 58.089999999999996}
latent_dim=16, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 55, 'ACC': 59.01, 'NMI': 33.300000000000004, 'PUR': 65.44}, final_result={'epoch': 149, 'ACC': 57.720000000000006, 'NMI': 31.47, 'PUR': 64.34}
latent_dim=16, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 50, 'ACC': 90.62, 'NMI': 76.6, 'PUR': 90.62}, final_result={'epoch': 149, 'ACC': 89.71000000000001, 'NMI': 75.47, 'PUR': 89.71000000000001}
latent_dim=16, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 119, 'ACC': 41.36, 'NMI': 10.95, 'PUR': 47.61}, final_result={'epoch': 149, 'ACC': 40.81, 'NMI': 10.56, 'PUR': 47.43}
latent_dim=16, p=2, learning_rate=0.0001, normalize=False, best_result={'epoch': 116, 'ACC': 62.68, 'NMI': 33.71, 'PUR': 63.970000000000006}, final_result={'epoch': 149, 'ACC': 62.32, 'NMI': 33.72, 'PUR': 63.970000000000006}
latent_dim=16, p=3, learning_rate=0.01, normalize=True, best_result={'epoch': 60, 'ACC': 64.34, 'NMI': 33.910000000000004, 'PUR': 64.34}, final_result={'epoch': 149, 'ACC': 63.970000000000006, 'NMI': 38.45, 'PUR': 65.99000000000001}
latent_dim=16, p=3, learning_rate=0.01, normalize=False, best_result={'epoch': 86, 'ACC': 88.97, 'NMI': 73.87, 'PUR': 88.97}, final_result={'epoch': 149, 'ACC': 71.69, 'NMI': 65.75, 'PUR': 82.72}
latent_dim=16, p=3, learning_rate=0.0001, normalize=True, best_result={'epoch': 80, 'ACC': 36.58, 'NMI': 7.84, 'PUR': 40.44}, final_result={'epoch': 149, 'ACC': 35.29, 'NMI': 7.24, 'PUR': 39.71}
latent_dim=16, p=3, learning_rate=0.0001, normalize=False, best_result={'epoch': 45, 'ACC': 60.660000000000004, 'NMI': 33.11, 'PUR': 65.81}, final_result={'epoch': 149, 'ACC': 55.33, 'NMI': 31.569999999999997, 'PUR': 60.85}
latent_dim=16, p=4, learning_rate=0.01, normalize=True, best_result={'epoch': 129, 'ACC': 62.129999999999995, 'NMI': 36.28, 'PUR': 67.46}, final_result={'epoch': 149, 'ACC': 62.129999999999995, 'NMI': 36.28, 'PUR': 67.46}
latent_dim=16, p=4, learning_rate=0.01, normalize=False, best_result={'epoch': 72, 'ACC': 88.97, 'NMI': 72.74000000000001, 'PUR': 88.97}, final_result={'epoch': 149, 'ACC': 68.75, 'NMI': 62.27, 'PUR': 79.03999999999999}
latent_dim=16, p=4, learning_rate=0.0001, normalize=True, best_result={'epoch': 36, 'ACC': 33.64, 'NMI': 5.45, 'PUR': 39.34}, final_result={'epoch': 149, 'ACC': 32.35, 'NMI': 5.41, 'PUR': 39.519999999999996}
latent_dim=16, p=4, learning_rate=0.0001, normalize=False, best_result={'epoch': 109, 'ACC': 67.83, 'NMI': 39.28, 'PUR': 67.83}, final_result={'epoch': 149, 'ACC': 67.28, 'NMI': 38.190000000000005, 'PUR': 67.28}
latent_dim=16, p=8, learning_rate=0.01, normalize=True, best_result={'epoch': 131, 'ACC': 60.660000000000004, 'NMI': 41.67, 'PUR': 67.10000000000001}, final_result={'epoch': 149, 'ACC': 60.660000000000004, 'NMI': 41.65, 'PUR': 67.10000000000001}
latent_dim=16, p=8, learning_rate=0.01, normalize=False, best_result={'epoch': 99, 'ACC': 83.09, 'NMI': 64.68, 'PUR': 83.09}, final_result={'epoch': 149, 'ACC': 82.89999999999999, 'NMI': 63.51, 'PUR': 82.89999999999999}
latent_dim=16, p=8, learning_rate=0.0001, normalize=True, best_result={'epoch': 55, 'ACC': 36.76, 'NMI': 7.13, 'PUR': 42.65}, final_result={'epoch': 149, 'ACC': 35.11, 'NMI': 6.239999999999999, 'PUR': 40.07}
